TicketID,Title,Priority,AssignedTo,CreatedDate,DaysOpen,Overdue
T001,Cannot login to VPN,High,Alice,2025-07-01,7,Yes
T002,Email not syncing,Low,Bob,2025-07-02,6,Yes
T003,Laptop blue screen,Medium,Charlie,2025-07-03,5,Yes
T004,Software installation request,High,Bob,2025-07-05,3,No
T005,Phone line issue,Low,Charlie,2025-07-06,2,No
T006,Password reset,Medium,Alice,2025-07-07,1,No
T007,Network printer offline,Medium,Alice,2025-07-04,4,Yes
T008,Teams not opening,High,Bob,2025-07-02,6,Yes
T009,Update antivirus,Low,Charlie,2025-07-06,2,No
T010,Mouse not working,Low,Bob,2025-07-07,1,No
T011,New user account request,Medium,Alice,2025-07-03,5,Yes
T012,File share access issue,High,Charlie,2025-07-01,7,Yes
T013,VPN drops connection,Medium,Bob,2025-07-05,3,No
T014,Request new keyboard,Low,Alice,2025-07-07,1,No
T015,WiFi unstable,High,Charlie,2025-07-04,4,Yes
T016,Install Visio,Medium,Bob,2025-07-02,6,Yes
T017,Computer very slow,Low,Alice,2025-07-06,2,No
T018,Audio not working,Medium,Charlie,2025-07-05,3,No
T019,Lost files recovery,High,Bob,2025-07-01,7,Yes
T020,Monitor flickering,Low,Alice,2025-07-07,1,No
