TicketID,Title,Priority,AssignedTo,CreatedDate,DaysOpen,Overdue
T001,Cannot login to VPN,High,Alice,2025-07-01,7,Yes
T002,Email not syncing,Low,Bob,2025-07-02,6,Yes
T003,Laptop blue screen,Medium,Charlie,2025-07-03,5,Yes
T007,Network printer offline,Medium,Alice,2025-07-04,4,Yes
T008,Teams not opening,High,Bob,2025-07-02,6,Yes
T011,New user account request,Medium,Alice,2025-07-03,5,Yes
T012,File share access issue,High,Charlie,2025-07-01,7,Yes
T015,WiFi unstable,High,Charlie,2025-07-04,4,Yes
T016,Install Visio,Medium,Bob,2025-07-02,6,Yes
T019,Lost files recovery,High,Bob,2025-07-01,7,Yes
